,D [m],h [m],v_steam [m/s]
"1/8""",0.0068326,36045873.97633913,17266.25491396774
"1/4""",0.009245600000000001,10558241.746853886,9429.744836294072
"3/8""",0.0125222,3091844.440547015,5140.541503275552
"1/2""",0.015798799999999998,1208907.0944003798,3229.4007294941634
"3/4""",0.0209296,388832.539878894,1840.129064693921
"1""",0.026644599999999997,147050.47083467685,1135.4074304091143
"1 1/4""",0.03505199999999999,48788.25602101314,656.0614743906849
"1 1/2""",0.04089399999999999,26255.095598083873,482.00434853193167
"2""",0.0525018,9623.1153850064,292.42988614590223
"2 1/2""",0.0627126,4714.935230414271,204.95594900125178
"3""",0.0779272,1972.2286133407463,132.73699999379767
"3 1/2""",0.0901192,1100.913178375926,99.25113596157352
"4""",0.10226039999999999,663.2068217691499,77.08238919882291
"5""",0.1281938,268.0138519201098,49.04967102890919
"6""",0.154051,128.34276714103657,33.96574134237216
"8""",0.2027174,42.72812098870086,19.614989808124513
"10""",0.25450799999999996,17.17733132003934,12.444208109027654
"12""",0.30479999999999996,8.343535643473864,8.676412998816806
"14""",0.33654999999999996,5.6109662799046385,7.116573709246679
"16""",0.38734999999999997,3.1959213529213186,5.372334197601161
"18""",0.43815,1.9513706789060064,4.198793436100382
"20""",0.48895,1.2578444749981108,3.3716403355159246
"22""",0.53975,0.8468221546527939,2.766845058723034
"24""",0.59055,0.5907894404910763,2.3113025262196687
"30""",0.74295,0.2357146840983451,1.460329866993492
"32""",0.79375,0.18089627781493392,1.2793891551535306
"34""",0.8445499999999999,0.1411266774835145,1.1301065944527062
"36""",0.89535,0.11170963276746411,1.0055055353993219
"42""",1.04775,0.05955394996467964,0.7342683397345792
