,D [m],h [m],v_steam [m/s]
"1/8""",0.0068326,inf,17266.25491396774
"1/4""",0.009245600000000001,inf,9429.744836294072
"3/8""",0.0125222,inf,5140.541503275552
"1/2""",0.015798799999999998,inf,3229.4007294941634
"3/4""",0.0209296,inf,1840.129064693921
"1""",0.026644599999999997,inf,1135.4074304091143
"1 1/4""",0.03505199999999999,inf,656.0614743906849
"1 1/2""",0.04089399999999999,inf,482.00434853193167
"2""",0.0525018,inf,292.42988614590223
"2 1/2""",0.0627126,inf,204.95594900125178
"3""",0.0779272,inf,132.73699999379767
"3 1/2""",0.0901192,inf,99.25113596157352
"4""",0.10226039999999999,3971.275425305143,77.08238919882291
"5""",0.1281938,371.0774193581412,49.04967102890919
"6""",0.154051,144.36642312794257,33.96574134237216
"8""",0.2027174,43.82295412899731,19.614989808124513
"10""",0.25450799999999996,17.257050757166404,12.444208109027654
"12""",0.30479999999999996,8.335771810967739,8.676412998816806
"14""",0.33654999999999996,5.598141722000777,7.116573709246679
"16""",0.38734999999999997,3.1857397887461847,5.372334197601161
"18""",0.43815,1.944667784145403,4.198793436100382
"20""",0.48895,1.253522180811202,3.3716403355159246
"22""",0.53975,0.8439928593247172,2.766845058723034
"24""",0.59055,0.5888924778244259,2.3113025262196687
"30""",0.74295,0.2350532298684011,1.460329866993492
"32""",0.79375,0.1804104490542727,1.2793891551535306
"34""",0.8445499999999999,0.1407633817675859,1.1301065944527062
"36""",0.89535,0.11143354018352923,1.0055055353993219
"42""",1.04775,0.05942240477481706,0.7342683397345792
