,D [m],h [m],v_steam [m/s],Re_steam [-]
"1/8""",0.0068326,inf,17266.25491396774,228116139.39006162
"1/4""",0.009245600000000001,inf,9429.744836294072,168580333.78001803
"3/8""",0.0125222,inf,5140.541503275552,124469049.68747784
"1/2""",0.015798799999999998,inf,3229.4007294941634,98654729.09312953
"3/4""",0.0209296,inf,1840.129064693921,74469953.27175555
"1""",0.026644599999999997,inf,1135.4074304091143,58496893.704410456
"1 1/4""",0.03505199999999999,inf,656.0614743906849,44466117.02603376
"1 1/2""",0.04089399999999999,inf,482.00434853193167,38113814.59374321
"2""",0.0525018,inf,292.42988614590223,29687102.80402834
"2 1/2""",0.0627126,inf,204.95594900125178,24853479.74723636
"3""",0.0779272,inf,132.73699999379767,20001056.550171636
"3 1/2""",0.0901192,inf,99.25113596157352,17295163.894004107
"4""",0.10226039999999999,inf,77.08238919882291,15241739.070026474
"5""",0.1281938,1533.318440508256,49.04967102890919,12158359.717837643
"6""",0.154051,186.36497354365395,33.96574134237216,10117599.587127216
"8""",0.2027174,45.90746098236075,19.614989808124513,7688665.768190273
"10""",0.25450799999999996,17.477716789882564,12.444208109027654,6124075.997597463
"12""",0.30479999999999996,8.374303034688216,8.676412998816806,5113603.457993882
"14""",0.33654999999999996,5.612967264450866,7.116573709246679,4631188.037428422
"16""",0.38734999999999997,3.189566640855953,5.372334197601161,4023819.114486989
"18""",0.43815,1.9458345854606756,4.198793436100382,3557289.3620827
"20""",0.48895,1.253927137976164,3.3716403355159246,3187700.8569312505
"22""",0.53975,0.8441488026540237,2.766845058723034,2887681.952749486
"24""",0.59055,0.5889578842728166,2.3113025262196687,2639279.2041258737
"30""",0.74295,0.23506034569166256,1.460329866993492,2097888.5981513355
"32""",0.79375,0.18041420637320635,1.2793891551535306,1963623.72786965
"34""",0.8445499999999999,0.14076544667758714,1.1301065944527062,1845511.0224338823
"36""",0.89535,0.1114347159027809,1.0055055353993219,1740801.1771894065
"42""",1.04775,0.059422663795806185,0.7342683397345792,1487593.7332345839
